talk_id,url,title,description,film_date,duration,views,main_tag,speaker_id,laughter_count,applause_count,language,event_id
72494,https://www.ted.com/talks/r_alan_brooks_when_the_world_is_burning_is_art_a_waste_of_time_oct_2021,"When the world is burning, is art a waste of time?","Is art worth it? ""Hell yeah,"" says graphic novelist R. Alan Brooks -- art has the power to scare dictators, inspire multitudes and change hearts and minds across the world. Reflecting on his journey to become an artist at a time when the world felt like it was burning, Brooks shares how creating something from a place of sincerity and passion can positively impact people in ways you may never know.",2020-08-29,764,1433532,society,6246,0.0,0.0,English,233
64970,https://www.ted.com/talks/chris_fisher_let_s_scan_the_whole_planet_with_lidar,Let's scan the whole planet with LiDAR,"We have archives of films, newspapers, even seeds -- what if we could make one for the entire surface of the earth? Drawing on his experience mapping an ancient city in the Honduran jungle, archaeologist Chris Fisher makes the case for scanning the whole planet with LiDAR -- a technology that uses lasers shot from an airplane to map the ground -- in order to preserve our cultural and ecological heritage.",2019-11-16,795,1738952,technology,5589,6.0,2.0,English,233
65043,https://www.ted.com/talks/dwinita_mosby_tyler_want_a_more_just_world_be_an_unlikely_ally,Want a more just world? Be an unlikely ally,"A more equal world starts with you. Citing a formative moment from her own life, equity advocate Dwinita Mosby Tyler highlights why showing up and fighting for others who face injustices beyond your own lived experience leads to a fairer, more just future for all.",2019-11-16,615,2066030,society,6037,5.0,11.0,English,233
65044,https://www.ted.com/talks/tom_teves_a_call_to_end_the_media_coverage_mass_shooters_want,A call to end the media coverage mass shooters want ,"On July 20, 2012, a mass shooting in a movie theater of Aurora, Colorado left the town, and its nation, reeling. To many -- including Tom Teves, who lost his son in the tragedy -- the news coverage that followed focused on all the wrong things. Why did the reporting overwhelmingly fixate on the shooter rather than the lives of the victims or the heroic efforts of first responders? With urgency and measure, Teves calls for responsible media attention that acts in the interest of the public (instead of profit) by revoking what shooters want most: infamy.",2019-11-16,867,1785003,social change,6053,2.0,6.0,English,233
63106,https://www.ted.com/talks/veronica_barassi_what_tech_companies_know_about_your_kids,What tech companies know about your kids,"The digital platforms you and your family use every day -- from online games to education apps and medical portals -- may be collecting and selling your children's data, says anthropologist Veronica Barassi. Sharing her eye-opening research, Barassi urges parents to look twice at digital terms and conditions instead of blindly accepting them -- and to demand protections that ensure their kids' data doesn't skew their future.",2019-11-16,661,1994732,future,6017,1.0,2.0,English,233
62997,https://www.ted.com/talks/marah_j_hardt_are_we_interrupting_the_kinky_sex_lives_of_fish,Are we interrupting the kinky sex lives of fish?,"The ocean plays host to a peculiar party of wild, marine sex life that's perhaps quirkier (and kinkier) than you can fathom. But is human behavior interrupting these raunchy reproductive acts? Take a deep dive with marine biologist Marah J. Hardt to discover what exactly goes down under the sea -- and why your own wellness depends on the healthy sex lives of fish.",2019-11-16,742,1984889,nature,5973,9.0,2.0,English,233
62263,https://www.ted.com/talks/dick_m_carpenter_ii_the_injustice_of_policing_for_profit_and_how_to_end_it,"The injustice of ""policing for profit"" -- and how to end it","Many countries have an active, centuries-old law that allows government agencies to take your things -- your house, your car, your business -- without ever convicting you of a crime. Law researcher Dick M. Carpenter II exposes how this practice of civil forfeiture threatens your rights and creates a huge monetary incentive for law enforcement to pocket your possessions -- and he lays out a path to end ""policing for profit"" once and for all.",2019-06-22,774,2020289,society,5947,11.0,4.0,English,233
59971,https://www.ted.com/talks/chuck_plunkett_when_local_news_dies_so_does_democracy,"When local news dies, so does democracy","Nearly 1,800 newsrooms have shuttered across the US since 2004, leaving many communities unseen, unheard and in the dark. In this passionate talk and rallying cry, journalist Chuck Plunkett explains why he rebelled against his employer to raise awareness for an industry under threat of extinction -- and makes the case for local news as an essential part of any healthy democracy.",2019-06-22,671,2826049,society,5902,5.0,7.0,English,233
58762,https://www.ted.com/talks/cesar_cuauhtemoc_garcia_hernandez_why_immigration_prisons_aren_t_the_answer,Why immigration prisons aren't the answer,"Every year, with bipartisan support, half a million people are locked up in prisons and detention centers while the government decides whether they'll be allowed to stay in the United States. How did we get here? Believe it or not, immigration hasn't always worked this way. Law professor César Cuauhtémoc García Hernández explains how and why we can do better. ",2019-11-16,771,27076,global issues,120148,1.0,3.0,English,233
50990,https://www.ted.com/talks/laura_rovner_what_happens_to_people_in_solitary_confinement,What happens to people in solitary confinement,"Imagine living with no significant human contact for years, even decades, in a cell the size of a small bathroom. This is the reality for those in long-term solitary confinement, a form of imprisonment regularly imposed in US prisons. In this eye-opening talk, civil rights lawyer Laura Rovner takes us to ADX, the US federal government's only supermax prison, and describes the dehumanizing effects of long-term solitude on the mind, personality and sense of self. What emerges is an urgent case for abolishing solitary confinement -- and evidence for how our tax dollars, public safety and values are implicated in it. ""Prisons are administered in our name and on our behalf,"" she says. ""We have an obligation to bear witness.""",2018-12-01,727,2360546,society,5614,2.0,2.0,English,233
50062,https://www.ted.com/talks/chris_fisher_why_we_should_archive_everything_on_the_planet,Why we should archive everything on the planet,"The climate crisis could destroy our entire cultural and ecological heritage in a matter of decades – how can we document everything before it disappears? Archaeologist Chris Fisher explains how we could scan the surface of the Earth, not just as a record for future generations, but as a tool to fight climate change.",2019-06-22,798,52471,technology,109605,6.0,2.0,English,233
46583,https://www.ted.com/talks/ethan_mann_how_sharks_could_inspire_a_new_generation_of_medical_devices,How sharks could inspire a new generation of medical devices ,Drug-resistant bacteria have us on the brink of a serious global health crisis. What if sharks -- creatures we see as a threat to life -- could help fix it? Microbiologist Ethan Mann explains how the unusual qualities of shark skin could lead to a new generation of medical devices that reduce bacterial infection.,2019-06-22,568,55727,technology,91155,3.0,2.0,English,233
40949,https://www.ted.com/talks/carson_bruns_could_a_tattoo_help_you_stay_healthy,Could a tattoo help you stay healthy?,Can we make tattoos both beautiful and functional? Nanotechnologist Carson Bruns shares his work creating high-tech tattoos that react to their environment -- like color-changing ink that can tell you when you're getting a sunburn -- and shows exciting ways they can deliver real-time information about our health.,2018-12-01,658,715848,science,5299,6.0,4.0,English,233
41874,https://www.ted.com/talks/austin_eubanks_what_surviving_the_columbine_shooting_taught_me_about_pain,What surviving the Columbine shooting taught me about pain,"Less than an hour after scrambling out the back door of the Columbine High School library on April 20, 1999, Austin Eubanks was lying in a hospital bed, medicated on a variety of painkillers. That was the beginning of a decade-long addiction that led to a profound realization about the current opioid epidemic: how we manage pain is both the problem and the solution. In this moving talk, he dissects emotional pain's role in addiction and expresses his hopes and suggestions for ways forward.",2017-07-08,899,790715,society,5357,0.0,3.0,English,233
38075,https://www.ted.com/talks/sabine_doebel_how_your_brain_s_executive_function_works_and_how_to_improve_it,How your brain's executive function works -- and how to improve it,"You use your brain's executive function every day -- it's how you do things like pay attention, plan ahead and control impulses. Can you improve it to change for the better? With highlights from her research on child development, cognitive scientist Sabine Doebel explores the factors that affect executive function -- and how you can use it to break bad habits and achieve your goals.",2018-12-01,555,4495652,science,5279,10.0,1.0,English,233
37661,https://www.ted.com/talks/kim_gorgens_the_surprising_connection_between_brain_injuries_and_crime,The surprising connection between brain injuries and crime,"Here's a shocking statistic: 50 to 80 percent of people in the criminal justice system in the US have had a traumatic brain injury. In the general public, that number is less than five percent. Neuropsychologist Kim Gorgens shares her research into the connection between brain trauma and the behaviors that keep people in the revolving door of criminal justice -- and some ways to make the system more effective and safer for everyone.",2018-06-16,702,3433339,society,870,0.0,5.0,English,233
37986,https://www.ted.com/talks/christoph_keplinger_the_artificial_muscles_that_will_power_robots_of_the_future,The artificial muscles that will power robots of the future,"Robot brains are getting smarter and smarter, but their bodies are often still clunky and unwieldy. Mechanical engineer Christoph Keplinger is designing a new generation of soft, agile robot inspired by a masterpiece of evolution: biological muscle. See these ""artificial muscles"" expand and contract like the real thing and reach superhuman speeds -- and learn how they could power prosthetics that are stronger and more efficient than human limbs.",2018-12-01,654,553374,science,5264,5.0,1.0,English,233
32414,https://www.ted.com/talks/p_j_parmar_how_doctors_can_help_low_income_patients_and_still_make_a_profit,How doctors can help low-income patients (and still make a profit),"Modern American health care is defined by its high costs, high overhead and inaccessibility -- especially for low-income patients. What if we could redesign the system to serve the poor and still have doctors make money? In an eye-opening (and surprisingly funny) talk, physician P.J. Parmar shares the story of the clinic he founded in Colorado, where he serves only resettled refugees who mostly use Medicaid, and makes the business case for a fresh take on medical service.",2018-06-16,621,1927382,society,5104,13.0,7.0,English,233
26779,https://www.ted.com/talks/mara_mintzer_how_kids_can_help_design_cities,How kids can help design cities,"Adults tend to think of kids as ""future citizens"" -- their ideas and opinions will matter someday, just not today. But kids make up a quarter of the population, so shouldn't they have a say in what the world they'll inherit will look like? Urban planner Mara Mintzer shares what happened when she and her team asked kids to help design a park in Boulder, Colorado -- and how it revealed an important blind spot in how we construct the built environment. ""If we aren't including children in our planning, who else aren't we including?"" Mintzer asks.",2017-11-11,864,1696656,society,4927,9.0,1.0,English,233
27172,https://www.ted.com/talks/joan_c_williams_we_won_t_fix_us_politics_until_we_talk_about_class,We won't fix US politics until we talk about class,"Class has always been a taboo subject but much of what we do is influenced by it, from the coffee we drink to the candidates we vote for. Legal scholar Joan C. Williams explains why the cultural chasm created by class conflict is at the root of US political polarization and provides some pointers on how to step back from the brink.",2017-11-10,1031,42461,social change,67955,5.0,3.0,English,233
22752,https://www.ted.com/talks/chip_colwell_why_museums_are_returning_cultural_treasures,Why museums are returning cultural treasures,"Archaeologist and curator Chip Colwell collects artifacts for his museum, but he also returns them to where they came from. In a thought-provoking talk, he shares how some museums are confronting their legacies of stealing spiritual objects and pillaging ancient graves -- and how they're bridging divides with communities who are demanding the return of their cultural treasures.",2017-07-08,781,1532468,culture,4741,1.0,1.0,English,233
25109,https://www.ted.com/talks/patrick_ferrucci_shouldn_t_sports_be_color_blind,Shouldn't sports be color-blind?,"Sports should be the great racial equalizer, a place where meritocracy reigns and skin color is irrelevant. But journalist Patrick Ferrucci begs to differ. Using sports journalism as his lens, he demonstrates how racial stereotypes have infiltrated the language we use to discuss athletes -- and how everyday racism bleeds into other aspects of life too. ",2018-06-16,949,39156,social change,88660,,,English,233
23413,https://www.ted.com/talks/esther_sullivan_america_s_most_invisible_communities_mobile_home_parks,America's most invisible communities -- mobile home parks,"Here's a fact: Not a single American working full-time for minimum wage can afford to buy a one-bedroom home. For many, mobile homes offer a way to break into homeownership. But owning a mobile home is risky, because these communities are virtually invisible and have few rights. Sociologist Esther Sullivan lists the reasons why mobile homeownership is so insecure, and discusses ways to preserve one of America's best options for affordable housing.",2017-07-08,876,24728,architecture,61002,2.0,3.0,English,233
8530,https://www.ted.com/talks/ben_cort_what_commercialization_is_doing_to_cannabis,What commercialization is doing to cannabis,"In 2012, Colorado legalized cannabis and added to what has fast become a multibillion-dollar global industry for all things weed-related: from vape pens to brownies and beyond. But to say that we've legalized marijuana is subtly misleading -- what we've really done is commercialized THC, says educator Ben Cort, and that's led to products that are unnaturally potent. In an eye-opening talk, Cort examines the often unseen impacts of the commercial cannabis industry -- and calls on us to question those who are getting rich off of it.",2017-11-10,964,2527234,society,4737,11.0,5.0,English,233
8298,https://www.ted.com/talks/christian_picciolini_my_descent_into_america_s_neo_nazi_movement_and_how_i_got_out,My descent into America's neo-Nazi movement -- and how I got out,"At 14, Christian Picciolini went from naïve teenager to white supremacist -- and soon, the leader of the first neo-Nazi skinhead gang in the United States. How was he radicalized, and how did he ultimately get out of the movement? In this courageous talk, Picciolini shares the surprising and counterintuitive solution to hate in all forms.",2017-11-10,1218,4483809,society,4023,8.0,5.0,English,233
8529,https://www.ted.com/talks/james_orsulak_why_we_need_to_move_manufacturing_off_planet,Why we need to move manufacturing off-planet,"All our manufacturing currently takes place on Earth and, as a result, all its harmful byproducts and wasteful processes end up wreaking Earthbound havoc. In this forward-thinking talk, James Orsulak argues that the fix is to move manufacturing operations off-planet, using automated labor to mine resources and perform all those ecosystem-destabilizing processes in the void of space. ""If we do this, we reverse the human supply chain,"" he says. ""Imagine if you walked outside one day and there were no factories, power plants, refineries or oil rigs. We've now zoned the earth for residential access only.""",2017-11-10,831,26773,technology,70141,3.0,1.0,English,233
8227,https://www.ted.com/talks/tasha_eurich_increase_your_self_awareness_with_one_simple_fix,Increase your self-awareness with one simple fix,"We'd all like to believe we're self-aware, but in reality, the facts point to a more sobering truth. Organizational psychologist Tasha Eurich has spent the last 4 years researching what it truly means to be self-aware, and in the process, has made a surprising discovery about human perception. In this illuminating talk, Eurich dissects common misbeliefs about introspective thinking and provides a simple way we can get to know ourselves just a little bit better.",2017-11-10,1038,3668461,communication,67959,19.0,1.0,English,233
8225,https://www.ted.com/talks/paula_stone_williams_i_ve_lived_as_a_man_and_as_a_woman_here_s_what_i_ve_learned,I've lived as a man and as a woman — here's what I've learned,"Today Paula Stone Williams is a pastoral counselor and woman — but for the first 60 years of her life, Williams identified as male. After coming out as transgender in December 2012, Williams was swiftly fired from a position as an evangelical Christian leader. In this talk, she reflects about the male privilege she once had and how she's being treated now as a woman. ""I am learning a lot about what it means to be a female, and I am learning a lot about my former gender,"" she says. ""I'm here to tell you: The differences are massive.""",2017-11-10,925,4494433,,67958,29.0,8.0,English,233
2887,https://www.ted.com/talks/theo_e_j_wilson_a_black_man_goes_undercover_in_the_alt_right,A black man goes undercover in the alt-right,"In an unmissable talk about race and politics in America, Theo E.J. Wilson tells the story of becoming Lucius25, white supremacist lurker, and the unexpected compassion and surprising perspective he found from engaging with people he disagrees with. He encourages us to let go of fear, embrace curiosity and have courageous conversations with people who think differently from us. ""Conversations stop violence, conversations start countries and build bridges,"" he says.",2017-07-08,1100,4616819,community,3615,20.0,7.0,English,233
2876,https://www.ted.com/talks/caitlin_quattromani_and_lauran_arledge_how_our_friendship_survives_our_opposing_politics,How our friendship survives our opposing politics,"Can you still be friends with someone who doesn't vote the same way as you? For Caitlin Quattromani and Lauran Arledge, two best friends who think very differently about politics, the outcome of the 2016 US presidential election could have resulted in hostility and disrespect. Hear about how they chose to engage in dialogue instead -- and learn some simple tactics they're using to maintain their bipartisan friendship.",2017-07-08,865,1199298,society,3603,16.0,2.0,English,233
2849,https://www.ted.com/talks/david_baron_you_owe_it_to_yourself_to_experience_a_total_solar_eclipse,You owe it to yourself to experience a total solar eclipse,"On August 21, 2017, the moon's shadow raced from Oregon to South Carolina in what some consider to be the most awe-inspiring spectacle in all of nature: a total solar eclipse. Umbraphile David Baron chases these rare events across the globe, and in this ode to the bliss of seeing the solar corona, he explains why you owe it to yourself to witness one, too.",2017-07-08,736,2143335,science,3559,4.0,3.0,English,233
2685,https://www.ted.com/talks/amy_adele_hasinoff_how_to_practice_safe_sexting,How to practice safe sexting,"Sexting, like anything that's fun, runs its risks -- but a serious violation of privacy shouldn't be one of them. Amy Adele Hasinoff looks at problematic responses to sexting in mass media, law and education, offering practical solutions for how individuals and tech companies can protect sensitive (and, ahem, potentially scandalous) digital files.",2016-06-25,865,1646536,technology,3251,5.0,1.0,English,233
79961,https://www.ted.com/talks/miracle_jones_the_radical_revolutionary_resilience_of_black_joy,"The radical, revolutionary resilience of Black joy","In the face of trauma, happiness is resilience: a revolutionary act of thriving despite all odds, rather than wilting or surrendering. Community organizer and activist Miracle Jones offers a heart-to-heart meditation on the role of joy as a form of radical resistance, survival and protection for Black folks in the US and across the world. A warm reminder to embrace the guiding light of hope in the presence of darkness.",2021-04-10,703,1337182,society,6440,,,English,159
76064,https://www.ted.com/talks/miracle_jones_the_revolutionary_power_of_black_joy,The revolutionary power of Black joy,"What exactly is Black joy? It's the ""indescribable joy that comes from being able to live and thrive despite all the obstacles and barriers of living in anti-Blackness,"" says community organizer and queer activist Miracle Jones. ""Part of it is a hope that things will soon get better and part of it is a celebration of still being here."" And she explains why this sense of pride and hope is another crucial component of the racial justice movement.",2021-04-10,713,0,global issues,141057,,,English,159
2030,https://www.ted.com/talks/lorrie_faith_cranor_what_s_wrong_with_your_pa_w0rd,What’s wrong with your pa$$w0rd?,"Lorrie Faith Cranor studied thousands of real passwords to figure out the surprising, very common mistakes that users -- and secured sites -- make to compromise security. And how, you may ask, did she study thousands of real passwords without compromising the security of any users? That's a story in itself. It's secret data worth knowing, especially if your password is 123456 ...",2014-03-31,1061,1618844,technology,1940,2.0,1.0,English,159
1295,https://www.ted.com/talks/luis_von_ahn_massive_scale_online_collaboration,Massive-scale online collaboration,"After re-purposing CAPTCHA so each human-typed response helps digitize books, Luis von Ahn wondered how else to use small contributions by many on the Internet for greater good. In this talk, he shares how his ambitious new project, Duolingo, will help millions learn a new language while translating the web quickly and accurately -- all for free.",2011-04-03,999,1802756,technology,1117,23.0,3.0,English,159
80733,https://www.ted.com/talks/steven_sharp_nelson_how_music_can_help_you_find_peace_after_loss,How music can help you find peace after loss,"Music can act as a guide, says cellist Steven Sharp Nelson. It has the power to unlock the mind, tap into the heart and bring light in the darkest times. Take a deep breath as Nelson takes you on a melodic, meditative journey that could reconnect you with your closest loved ones -- no matter how near or far they may be.",2020-09-19,839,1282549,humanity,6485,1.0,2.0,English,277
62085,https://www.ted.com/talks/sara_jones_my_story_of_love_and_loss_as_a_transracial_adoptee,My story of love and loss as a transracial adoptee,"A mysterious tattoo on her forearm was all that linked Sara Jones, adopted as a child by white parents, to her South Korean origins. Searching for her birth family taught her that transracial adoption stories often frame new lives abroad as strokes of luck that call for endless gratitude, obscuring a far more complex reality. Through her experience of loss and discovery, Jones offers guidance on what adoptive parents can do to protect their children's unique cultural and personal narratives.",2019-09-21,776,2049976,identity,5984,7.0,1.0,English,277
32556,https://www.ted.com/talks/thea_holcomb_how_peer_educators_can_transform_sex_education,How peer educators can transform sex education,"Where are teens supposed to learn about sex, asks student speaker Thea Holcomb. From alarmist imagery about sexually transmitted diseases? From the Internet and all its attendant judgment, bias and dysfunction? The answer, she suggests, lies with peer educators. In this talk, Holcomb explains why properly trained peer educators are the right people to disseminate both accurate information and healthy attitudes. As she says, ""When you get accurate, judgment-free information from your peers, you realize that sex ed doesn't have to be scary.""",2015-09-19,263,292654,education,5110,0.0,0.0,English,277
30484,https://www.ted.com/talks/neylan_mcbaine_lessons_from_utah_s_legacy_of_women_s_suffrage,Lessons from Utah's legacy of women's suffrage,"The first legal ballot cast in the United States by a woman was in Utah -- a culminating moment in a trailblazing local women's suffrage. In this talk, Neylan McBaine tells the little-known story of this movement and details the ways its triumphs (and setbacks) are relevant to contemporary struggles for equality.",2018-09-08,893,0,history,85775,,,English,277
24876,https://www.ted.com/talks/david_york_a_new_way_to_think_about_inheritance,A new way to think about inheritance,"Is inherited wealth a powerful tool or a destructive influence? David York thinks it can be both, depending on how you define and use it. In this thought-provoking talk, he argues that we need to stop envisioning intergenerational wealth transfers in purely financial terms and start thinking about them as opportunities to share values and connections to the next generation. ",2015-09-19,674,59027,decision-making,24329,,,English,277
2644,https://www.ted.com/talks/kevin_b_jones_why_curiosity_is_the_key_to_science_and_medicine,Why curiosity is the key to science and medicine,"Science is a learning process that involves experimentation, failure and revision -- and the science of medicine is no exception. Cancer researcher Kevin B. Jones faces the deep unknowns about surgery and medical care with a simple answer: honesty. In a thoughtful talk about the nature of knowledge, Jones shows how science is at its best when scientists humbly admit what they do not yet understand.",2015-09-19,1033,1004410,science,3171,1.0,1.0,English,277
79768,https://www.ted.com/talks/sasha_sarago_the_de_colonizing_of_beauty,The (de)colonizing of beauty,"Beauty is about more than the body you inhabit -- it's a way of being that goes beyond genetics or societal ideals. Aboriginal writer and former model Sasha Sarago invites you to decolonize beauty, moving away from the monolithic Eurocentric archetype and towards a more essential, authentic understanding of self that belongs to everyone.",2020-11-05,670,1396130,culture,6435,0.0,1.0,English,291
76335,https://www.ted.com/talks/dominic_price_what_s_your_happiness_score,What's your happiness score?,"How do you rediscover a happier, more purpose-driven (and less productivity-obsessed) self in the wake of the pandemic? Quiz yourself alongside work futurist Dominic Price as he lays out a simple yet insightful four-part guide to assessing your life in ways that can help you reconnect with what's really important.",2020-11-05,886,1724698,personal growth,6354,0.0,0.0,English,291
57364,https://www.ted.com/talks/yve_blake_for_the_love_of_fangirls,For the love of fangirls,"When you think of fangirls, what comes to mind: large swaths of fandom (usually for a boyband) whose feelings culminate in tears and joyful screams? Perhaps you grimace or roll your eyes at the thought. In this fun, lively talk, playwright Yve Blake asks us to reevaluate our reaction to the misunderstood passion and power of fangirls, emphasizing why we should all embrace our own unbridled enthusiasm.",2019-05-23,723,1383267,culture,5804,14.0,3.0,English,291
53601,https://www.ted.com/talks/tom_nash_the_perks_of_being_a_pirate_apr_2019,The perks of being a pirate,"In this deeply charming and humorous talk, DJ and self-professed pirate Tom Nash meditates on how facing adversity due to disability invited patience, ambition and pragmatism into his life in enlightening, unexpected ways. ""We all have unique weaknesses,"" he says. ""If we're honest about what they are, we can learn how to best take advantage of them.""",2019-05-23,535,2677606,creativity,5716,20.0,1.0,English,291
52469,https://www.ted.com/talks/mike_cannon_brookes_how_you_can_use_impostor_syndrome_to_your_benefit,How you can use impostor syndrome to your benefit,"Have you ever doubted your abilities, feared you were going to be discovered as a ""fraud""? That's called ""impostor syndrome,"" and you're definitely not alone in feeling it, says entrepreneur and CEO Mike Cannon-Brookes. In this funny, relatable talk, he shares how his own experiences of impostor syndrome helped pave the way to his success -- and shows how you can use it to your advantage, too.",2017-06-15,822,3348734,society,5669,22.0,2.0,English,291
50956,https://www.ted.com/talks/craig_costello_in_the_war_for_information_will_quantum_computers_defeat_cryptographers,"In the war for information, will quantum computers defeat cryptographers?","In this glimpse into our technological future, cryptographer Craig Costello discusses the world-altering potential of quantum computers, which could shatter the limits set by today's machines -- and give code breakers a master key to the digital world. See how Costello and his fellow cryptographers are racing to reinvent encryption and secure the internet.",2019-05-23,991,2253219,science,5666,6.0,1.0,English,291
49433,https://www.ted.com/talks/tara_djokic_this_ancient_rock_is_changing_our_theory_on_the_origin_of_life,This ancient rock is changing our theory on the origin of life,Exactly when and where did life on Earth begin? Scientists have long thought that it emerged three billion years ago in the ocean -- until astrobiologist Tara Djokic and her team made an unexpected discovery in the western Australian desert. Learn how an ancient rock found near a hot volcanic pool is shifting our understanding of the origin-of-life puzzle.,2019-05-23,570,3000829,science,5556,0.0,1.0,English,291
49115,https://www.ted.com/talks/david_wenham_why_i_became_an_actor,Why I became an actor,Actor David Wenham shares his insights into the seemingly mysterious alchemy of the acting process. (Step 1: Build up your stamina with a wooden stage sword. Step 2: Learn how to behave truthfully in an imaginary situation.),2019-05-23,743,121468,creativity,113477,,,English,291
