author_id,speaker_name,speaker_occupation,speaker_description
49,Joshua Prince-Ramus,Architect,"Joshua Prince-Ramus is best known as architect of the Seattle Central Library, already being hailed as a masterpiece of contemporary culture. Prince-Ramus was the founding partner of OMA New York—the American affiliate of the Office for Metropolitan Architecture (OMA) in the Netherlands—and served as its Principal until he renamed the firm REX in 2006."
50,Keith Barry,Magician,"Think of Keith Barry as a hacker of the human brain -- writing routines that exploit its bugs and loopholes, and offering a revealing look at the software between our ears."
51,Majora Carter,Activist for environmental justice,"Majora Carter redefined the field of environmental equality, starting in the South Bronx at the turn of the century.  Now she is leading the local economic development movement across the USA."
52,Saul Griffith,Inventor,"Inventor Saul Griffith looks for elegant ways to make real things, from low-cost eyeglasses to a kite that tows boats. His latest projects include open-source inventions and elegant new ways to generate power."
53,Stefan Sagmeister,Graphic designer,"Renowned for album covers, posters and his recent book of life lessons, designer Stefan Sagmeister invariably has a slightly different way of looking at things."
54,Cameron Sinclair,Co-founder,"2006 TED Prize winner Cameron Sinclair is co-founder of Architecture for Humanity, a nonprofit that seeks architecture solutions to global crises -- and acts as a conduit between the design community and the world's humanitarian needs."
55,Jehane Noujaim,Filmmaker,TED Prize winner Jehane Noujaim is a gutsy filmmaker whose astonishing documentaries reveal the triumphs and hardships of courageous individuals.
56,Edward Burtynsky,Photographer,"2005 TED Prize winner Edward Burtynsky has made it his life's work to document humanity's impact on the planet. His riveting photographs, as beautiful as they are horrifying, capture views of the Earth altered by mankind."
57,Robert Fischell,Biomedical inventor,"Robert Fischell invented the rechargeable pacemaker, the implantable insulin pump, and devices that warn of epileptic seizures and heart attacks. Yet it's not just his inventive genius that makes him fascinating, but his determination to make the world a better place."
58,Larry Brilliant,Epidemiologist,"TED Prize winner Larry Brilliant has spent his career solving the world's biggest problems, from overseeing the last smallpox cases to saving millions from blindness."
59,Bono,Musician,"Bono, the lead singer of U2, uses his celebrity to fight for social justice worldwide: to end hunger, poverty and disease, especially in Africa. His nonprofit ONE raises awareness via media, policy and calls to action."
60,Charles Leadbeater,Innovation consultant,"A researcher at the London think tank Demos, Charles Leadbeater was early to notice the rise of ""amateur innovation"" -- great ideas from outside the traditional walls, from people who suddenly have the tools to collaborate, innovate and make their expertise known."
61,Robert Wright,Journalist,"The best-selling author of ""Nonzero,"" ""The Moral Animal"" and ""The Evolution of God,"" Robert Wright draws on his wide-ranging knowledge of science, religion, psychology, history and politics to figure out what makes humanity tick -- and what makes us moral."
62,Wade Davis,Anthropologist,"A National Geographic Explorer-in-Residence, Wade Davis has been described as “a rare combination of scientist, scholar, poet and passionate defender of all of life’s diversity.”"
63,Peter Donnelly,Mathematician; statistician,"Peter Donnelly is an expert in probability theory who applies statistical methods to genetic data -- spurring advances in disease treatment and insight on our evolution. He's also an expert on DNA analysis, and an advocate for sensible statistical analysis in the courtroom."
64,Bjorn Lomborg,Global prioritizer,"Danish political scientist Bjorn Lomborg heads the Copenhagen Consensus, which has prioritized the world's greatest problems -- global warming, world poverty, disease -- based on how effective our solutions might be. It's a thought-provoking, even provocative list."
65,Jeff Han,Human-computer interface designer,"After years of research on touch-driven computer displays, Jeff Han has created a simple, multi-touch, multi-user screen interface that just might herald the end of the point-and-click era."
66,Eve Ensler,Playwright,"Eve Ensler created the groundbreaking ""Vagina Monologues,"" whose success propelled her to found V-Day -- a movement to end violence against women and girls everywhere."
67,Anna Deavere Smith,Actor,"Anna Deavere Smith's ground-breaking solo shows blur the lines between theater and journalism, using text from real-life encounters to create gripping portraits."
68,Steven Johnson,Writer,"Steven Johnson is a leading authority on innovation and the bestselling author of 13 books about history of health, medicine and technology."
69,Sir Ken Robinson,Author,"Creativity expert Sir Ken Robinson challenged the way we educate our children, championing a radical rethink of how our school systems cultivate creativity and acknowledge multiple types of intelligence."
70,Richard St. John,Marketer,"A self-described average guy who found success doing what he loved, Richard St. John spent more than a decade researching the lessons of success -- and distilling them into 8 words, 3 minutes and one successful book."
71,Rick Warren,Pastor,"Pastor Rick Warren is the author of <em>The Purpose-Driven Life,</em> which has sold more than 30 million copies worldwide. His has become an immensely influential voice seeking to apply the values of his faith to issues such as global poverty, HIV/AIDS and injustice."
72,Chris Anderson,Drone maker,Chris Anderson is an authority on emerging technologies and the cultures that surround them.
73,Carl Honoré,Writer,"Carl Honoré loves words: the way they appear on the page, the music they make when spoken and their power to change the world."
74,Alex Steffen,Planetary futurist,"Alex Steffen explores our planet's future, telling powerful, inspiring stories about the hard choices facing humanity ... and our opportunity to create a much better tomorrow."
75,Sasa Vucinic,Nonprofit venture capitalist,Sasa Vucinic's Media Development Loan Fund applies venture-capital principles to create a sustainable free press in developing nations and countries emerging from repressive regimes.
76,Susan Savage-Rumbaugh,Primate authority,"Susan Savage-Rumbaugh has made startling breakthroughs in her lifelong work with chimpanzees and bonobos, showing the animals to be adept in picking up language and other ""intelligent"" behaviors."
77,Sheila Patek,Biologist,"Biologist Sheila Patek is addicted to speed -- animal speed. She's measured the fastest animal movements in the world, made by snail-smashing mantis shrimp and the snapping mandibles of trap-jaw ants."
78,Al Seckel,Master of visual illusions,Al Seckel explored how eye tricks can reveal the way the brain processes visual information -- or fails to do so. Among his other accomplishments: He co-created the Darwin Fish.
79,Iqbal Quadir,Founder,"Iqbal Quadir is an advocate of business as a humanitarian tool. With GrameenPhone, he brought the first commercial telecom services to poor areas of Bangladesh. His latest project will help rural entrepreneurs build power plants."
80,Juan Enriquez,Author,"Juan Enriquez thinks and writes about the profound changes that genomics and brain research will bring about in business, technology, politics and society."
81,Nora York,Singer,"""Philosopher diva"" Nora York is an adventurous singer-songwriter with a drive to explore the human condition."
82,Bill Clinton,Activist,"Through his William J. Clinton Foundation, former US President Bill Clinton has become a vital and innovative force for world change. He works in four critical areas: health, economic empowerment, citizen service, and reconciliation."
83,E.O. Wilson,Biologist,"Biologist E.O. Wilson explores the world of ants and other tiny creatures, and writes movingly about the way all creatures great and small are interdependent."
84,James Nachtwey,Photojournalist,Photojournalist James Nachtwey is considered by many to be the greatest war photographer of recent decades. He has covered conflicts and major social issues in more than 30 countries.
85,Julia Sweeney,Actor,"Julia Sweeney creates comedic works that tackle deep issues like cancer, family and faith."
86,Ze Frank,Web humorist,"Ze Frank has been involved in online comedy, web toys and virtually shared experiences for the past 20 years as an influencer, performer, executive and mischief maker."
87,Ben Saunders,Polar explorer,"In 2004, Ben Saunders became the youngest person ever to ski solo to the North Pole. In 2013, he set out on another record-breaking expedition, this time to retrace Captain Scott’s ill-fated journey to the South Pole on foot."
88,Neil Gershenfeld,Physicist,"As Director of MIT’s Center for Bits and Atoms, Neil Gershenfeld explores the boundaries between the digital and physical worlds."
89,Jacqueline Novogratz,Founder and CEO of Acumen,"Jacqueline Novogratz works to enable human flourishing. Her organization, Acumen, invests in people, companies and ideas that see capital and networks as means, not ends, to solving the toughest issues of poverty."
90,Hans Rosling,Global health expert; data visionary,"In Hans Rosling’s hands, data sings. Global trends in health and economics come to vivid life. And the big picture of global development -- with some surprisingly good news -- snaps into sharp focus."
91,Barry Schwartz,Psychology professor,"Barry Schwartz studies the link between economics and psychology, offering startling insights into modern life."
92,Dan Dennett,Philosopher,Dan Dennett thinks that human consciousness and free will are the result of physical processes.
93,Richard Dawkins,Evolutionary biologist,"Oxford professor Richard Dawkins has helped steer evolutionary science into the 21st century, and his concept of the ""meme"" contextualized the spread of ideas in the information age. In recent years, his devastating critique of religion has made him a leading figure in the New Atheism."
94,Dan Gilbert,Psychologist; happiness expert,"Harvard psychologist Dan Gilbert says our beliefs about what will make us happy are often wrong -- a premise he supports with intriguing research, and explains in his accessible and unexpectedly funny book, <em>Stumbling on Happiness.</em>"
97,Tom Honey,Priest,"The Vicar of St David's Church, Exeter, in the UK, is unafraid to take on some of religion's tougher issues."
98,Caroline Lavelle,Cellist; singer-songwriter,"Equally talented on cello and vocals, Caroline Lavelle has created a performance style all her own. Her expansive talents, channeling the best of both classical and contemporary influences, have earned her comparisons to both Kate Bush and Jacqueline du Pré."
99,Evelyn Glennie,Musician,"Percussionist and composer Dame Evelyn Glennie lost nearly all of her hearing by age 12. Rather than isolating her, it has given her a unique connection to her music."
100,William McDonough,Architect,"Architect William McDonough believes green design can prevent environmental disaster and drive economic growth. He champions “cradle to cradle” design, which considers a product's full life cycle -- from creation with sustainable materials to a recycled afterlife."
101,Jeff Bezos,Online commerce pioneer,"As founder and CEO of Amazon.com, Jeff Bezos defined online shopping and rewrote the rules of commerce, ushering in a new era in business. <em>Time</em> magazine named him Man of the Year in 1999."
102,Natalie MacMaster,Fiddler,"Natalie MacMaster is a star of Cape Breton fiddling, a Canadian tradition with Scottish roots. Her energetic style and virtuoso talent has brought her star billing on the international folk circuit."
103,James Howard Kunstler,Social critic,"James Howard Kunstler may be the world’s most outspoken critic of suburban sprawl. He believes the end of the fossil fuels era will soon force a return to smaller-scale, agrarian communities -- and an overhaul of the most destructive features of postwar society."
104,Eddi Reader,Singer/songwriter,"In her warm, glorious voice, Eddi Reader sings thoughtful songs about love, longing and introspection."
105,Jill Sobule,Singer/songwriter,"Jill Sobule isn't just another singer-songwriter with catchy tunes and smart lyrics, she's one of the more insightful satirists of our age. Each of her fanciful songs captures an issue or irony, an emotion or epiphany that helps us understand what it's like to live now."
106,Tom Rielly,Satirist,"Traditionally, Tom Rielly closes the TED Conference with a merciless 18-minute monologue, skewering all the speakers with his deadpan delivery, spot-on satire and boundary-less performance (complete with PowerPoint, pratfalls and partial nudity)."
107,"David Byrne, Ethel + Thomas Dolby",Electronic music pioneer,"Thomas Dolby has spent his career at the intersection of music and technology. He was an early star on MTV, then moved to Silicon Valley, then went back on the road with his album, ""A Map of the Floating City."""
108,Stew,Singer/songwriter,Singer-songwriter Stew spins improvisatory songs drawn from his seemingly endless stable of stories and ideas. His musical Passing Strange won a Tony for Best Book in 2008.
109,Larry Page,CEO of Google,"Larry Page is the CEO and cofounder of Google, making him one of the ruling minds of the web."
110,David Kelley,Designer,David Kelley’s company IDEO helped create many icons of the digital generation -- but what matters even more to him is unlocking the creative potential of people and organizations to innovate routinely.
111,Stewart Brand,Environmentalist,"Since the counterculture '60s, Stewart Brand has been creating our internet-worked world. Now, with biotech accelerating four times faster than digital technology, Stewart Brand has a bold new plan ..."
112,Jeff Hawkins,Computer designer,"Jeff Hawkins pioneered the development of PDAs such as the Palm and Treo. Now he's trying to understand how the human brain really works, and adapt its method -- which he describes as a deep system for storing memory -- to create new kinds of computers and tools."
113,Tierney Thys,Marine biologist,"Tierney Thys is a marine biologist and science educator. She studies the behavior of the Mola mola, or giant ocean sunfish -- and works with other scientists to make films that share the wonders they see."
114,Ethel,String quartet,"Ethel is, perhaps, the first 21st-century realization of the classical string quartet."
115,Ngozi Okonjo-Iweala,Economist,"A respected global economist, Ngozi Okonjo-Iweala's parents instilled in her the value of service to others."
116,John Doerr,Engineer,"John Doerr is an engineer, acclaimed venture capitalist, chairman of Kleiner Perkins and the author of ""Speed and Scale"" and ""Measure What Matters."""
117,Blaise Agüera y Arcas,Software architect,"Blaise Agüera y Arcas works on machine learning at Google. Previously a Distinguished Engineer at Microsoft, he has worked on augmented reality, mapping, wearable computing and natural user interfaces."
118,Anand Agarawala,Technologist,Anand Agarawala's job: to imagine and build the computers you'll use in 20 years.
119,Robert Thurman,Buddhist scholar,"The first American to be ordained a Tibetan Monk by the Dalai Lama, Robert A.F. Thurman is a scholar, author and tireless proponent of peace."
121,Stephen Lawler,General manager of Microsoft's Virtual Earth,"Stephen Lawler and the Virtual Earth team have created an addictively interactive 3D world that is poised to reinvent our view of advertising, gaming, weather/traffic reporting, instant messaging and more."
123,Bill Stone,Explorer,Engineer and daredevil cave explorer Bill Stone is obsessed with discovery -- on Earth and beyond.
124,Alan Russell,Medical futurist,"In the fight against disease, defect and injury, Alan Russell has a novel argument: Why not engineer new tissue and organs to replace sick ones?"
125,Jonathan Harris,Artist,Artist and computer scientist Jonathan Harris makes online art that captures the world's expression -- and gives us a glimpse of the soul of the Internet.
126,Emily Oster,Economist,Emily Oster has a history of rethinking conventional wisdom.
127,Deborah Gordon,Ecologist,"By studying how ant colonies work without any one leader, Deborah Gordon has identified striking similarities in how ant colonies, brains, cells and computer networks regulate themselves."
128,Will Wright,Game designer,"Will Wright invented a genre of computer game that involves neither winning nor shooting, yet has generated colossal hits. Among them: SimCity (which earned its publisher $230 million), The Sims, and Spore."
129,Stephen Petranek,Technology forecaster,Stephen Petranek untangles emerging technologies to predict which will become fixtures of our future lives -- and which could potentially save them.
130,David Bolinsky,Medical animator,David Bolinsky and his team illustrate scientific and medical concepts with high-drama animation. You've never seen the life of a cell quite like this.
131,Allison Hunt,Marketing expert,"Allison Hunt has worked in advertising and marketing for 20 years, developing human insight and persuasion into an art for her clients. Six years after getting an artificial hip, she decided to try something new."
132,Andrew Mwenda,Journalist,Journalist Andrew Mwenda has spent his career fighting for free speech and economic empowerment throughout Africa. He argues that aid makes objects of the poor -- they become passive recipients of charity rather than active participants in their own economic betterment.
133,George Ayittey,Economist,"Economist George Ayittey sees Africa's future as a fight between Hippos -- complacent, greedy bureaucrats wallowing in the muck -- and Cheetahs, the fast-moving, entrepreneurial leaders and citizens who will rebuild Africa."
135,William Kamkwamba,Inventor,"To power his family's home, young William Kamkwamba built an electricity-producing windmill from spare parts and scrap -- starting him on a journey detailed in the book and film ""The Boy Who Harnessed the Wind."""
136,Vusi Mahlasela,Musician,"South African singer-songwriter Vusi Mahlasela was a crucial artistic voice during the fight against apartheid, and now in the new modern-day nation. Blending traditional African music with soul and blues, his music showcases powerful vocals and poetic lyrics."
137,Chris Abani,Novelist,"Imprisoned three times by the Nigerian government, Chris Abani turned his experience into poems that Harold Pinter called ""the most naked, harrowing expression of prison life and political torture imaginable."" His novels include <em>GraceLand</em> (2004) and <em>The Virgin of Flames</em> (2007)."
138,Euvin Naidoo,Investment banker,"As leading advocate for Western Investment into Africa, BCG's Euvin Naidoo works with leading corporations and governments to strengthen trans-Atlantic economic ties."
139,Patrick Awuah,University founder,"After working at Microsoft for almost a decade, Patrick Awuah returned home to Ghana and cofounded Ashesi University, a small liberal arts college that aims to educate Africa's next generation of leaders. Its first class of students graduated in 2006."
141,Zeresenay Alemseged,Paleoanthropologist,"Zeresenay ""Zeray"" Alemseged digs in the Ethiopian desert, looking for the earliest signs of humanity. His most exciting find: the 3.3-million-year-old bones of Selam, a 3-year-old hominid child, from the species <em>Australopithecus afarensis.</em>"
142,Ron Eglash,Mathematician,"Ron Eglash is an ethno-mathematician: he studies the way math and cultures intersect. He has shown that many aspects of African design -- in architecture, art, even hair braiding -- are based on perfect fractal patterns."
143,Erin McKean,Dictionary editor,"As the co-founder of Reverb Technologies, the maker of the online dictionary Wordnik, Erin McKean is reshaping how we interact with language itself."
144,Theo Jansen,Artist,"Theo Jansen is a Dutch artist who builds walking kinetic sculptures that he calls a new form of life. His ""Strandbeests"" walk the coastline of Holland, feeding on wind and fleeing from water."
145,Kenichi Ebina,Dancer,"2013 ""America's Got Talent"" winner Kenichi Ebina blends hip-hop, martial arts, modern dance, magic and a blast of pop culture in his mesmerizing performances."
147,Jeff Skoll,Producer,"Jeff Skoll was the first president of eBay; he used his dot-com fortune to found the film house Participant Productions, making movies to inspire social change, including <em>Syriana</em>; <em>Good Night, and Good Luck</em>; <em>Murderball</em>; <em>An Inconvenient Truth</em> ..."
148,Paola Antonelli,Curator of architecture and design,"Paola Antonelli is on a mission to introduce -- and explain -- design to the world. With her shows at New York's Museum of Modern Art, she celebrates design's presence in every part of life."
150,Deborah Scranton,Filmmaker,"The director of the award-winning documentary <em>The War Tapes,</em> Deborah Scranton is committed to using new technology to give people power to tell their own stories."
151,Hod Lipson,Roboticist,"Hod Lipson works at the intersection of engineering and biology, studying robots and the way they ""behave"" and evolve. His work has exciting implications for design and manufacturing -- and serves as a window to understand our own behavior and evolution."
154,Steven Pinker,Psychologist,"Steven Pinker is a professor of cognitive science (the study of the human mind) who writes about language, mind and human nature."
155,John Maeda,Artist,"John Maeda, the former president of the Rhode Island School of Design, is dedicated to linking design and technology. Through the software tools, web pages and books he creates, he spreads his philosophy of elegant simplicity."
157,Norman Foster,Architect,"Lord Norman Foster, winner of the 1999 Pritzker Prize, is perhaps the leading urban stylist of our age. His elegant, efficient buildings grace cities around the globe."
158,Sugata Mitra,Education researcher,"Educational researcher Sugata Mitra is the winner of the 2013 TED Prize. His wish: Build a School in the Cloud, where children can explore and learn from one another."
159,Paul MacCready,Engineer,"Paul MacCready, an aircraft designer and environmentalist, is a pioneer of human-powered flight, alternative energy for transportation, and environmentally responsible design."
160,Carolyn Porco,Planetary scientist,"As the leader of the Imaging Team on the Cassini mission to Saturn, Carolyn Porco interprets and shares the pictures coming back from this fascinating planet, its rings and its moons."
161,Richard Branson,Entrepreneur,Richard Branson bootstrapped his way from record-shop owner to head of the Virgin empire. Now he's focusing his boundless energy on saving our environment.
162,Maira Kalman,Illustrator,"Maira Kalman's wise, witty drawings have appeared on numberless <em>New Yorker</em> covers, in a dozen children's books, and throughout the pages of the <em>Elements of Style.</em> Her latest book, <em>The Principles of Uncertainty</em>, is the result of a year-long illustrated blog she kept for the <em>New York Times.</em>"
163,Paul Rothemund,DNA origamist,"Paul Rothemund folds DNA into shapes and patterns. Which is a simple enough thing to say, but the process he has developed has vast implications for computing and manufacturing -- allowing us to create things we can now only dream of."
164,VS Ramachandran,Brain expert,"Neurologist V.S. Ramachandran looks deep into the brain’s most basic mechanisms. By working with those who have very specific mental disabilities caused by brain injury or stroke, he can map functions of the mind to physical structures of the brain."
165,Eleni Gabre-Madhin,Economist,"Eleni Gabre-Madhin is working to build Ethiopia's first commodities market. Re-establishing the profit motive for farmers, she believes, could help turn the world's largest recipient of food aid into a regional food basket."
166,Rokia Traore,Singer-songwriter,Malian singer Rokia Traore blends the traditions of her Bamana heritage with a modern singer-songwriter's approach to music-making.
167,Lawrence Lessig,Legal activist,Lawrence Lessig has already transformed intellectual-property law with his Creative Commons innovation. Now he's focused on an even bigger problem: The US' broken political system.
168,Raul Midon,Guitarist,"Guitarist and singer Raul Midon blends flamenco, jazz and R&B to create a category-defying sound. His life story is as inspiring as his musical vision."
169,Sherwin Nuland,Doctor,"A practicing surgeon for three decades, Sherwin Nuland witnessed life and death in every variety. Then he turned to writing, exploring what there is to people beyond just anatomy."
170,Jan Chipchase,User anthropologist,"As Executive Creative Director of global insights for frog design, Jan Chipchase travels around the world and inside our pockets in search of behavioral patterns that will inform the design of products we don't even know we want. Yet."
171,Matthieu Ricard,Monk,"Sometimes called the ""happiest man in the world,"" Matthieu Ricard is a Buddhist monk, author and photographer."
172,David Keith,Environmental scientist,"David Keith studies our climate, and the many ideas we've come up with to fix it. A wildly original thinker, he challenges us to look at climate solutions that may seem daring, sometimes even shocking."
173,Murray Gell-Mann,Physicist,"Murray Gell-Mann brings visibility to a crucial aspect of our existence that we can't actually see: elemental particles. He won the Nobel Prize in Physics for introducing quarks, one of two fundamental ingredients for all matter in the universe."
174,Robert Full,Biologist,"Robert Full studies cockroach legs and gecko feet. His research is helping build tomorrow's robots, based on evolution's ancient engineering."
175,Yossi Vardi,Investor,"Investor Yossi Vardi is godfather to more than 40 startups, mostly in the jumping Israeli high-tech sector. He's a legendary community-builder, connector and prankster."
176,Philippe Starck,Designer,"Philippe Starck designs deluxe objects and posh condos and hotels around the world. Always witty and engaged, he takes special delight in rethinking everyday objects."
177,Arthur Benjamin,Mathemagician,"Using daring displays of algorithmic trickery, lightning calculator and number wizard Arthur Benjamin mesmerizes audiences with mathematical mystery and beauty."
178,Daniel Goleman,Psychologist,"Daniel Goleman, psychologist and award-winning author of <em>Emotional Intelligence</em> and other books on EI, challenges traditional measures of intelligence as a predictor of life success."
179,Lakshmi Pratury,Connector,Lakshmi Pratury is the host of The INK Conference and was the co-host of TEDIndia 2009.
180,Gever Tulley,Tinkerer,"The founder of the Tinkering School, Gever Tulley likes to build things with kids."
